wdid,name,icrsra,icrsdec,spectype,teff,logg,Dpc,V,su
WD 0148+641,Gaia EDR3 518201792978858880,01 51 51.69,64 25 49.32,DA,8800.8391,8.104208,17.30,13.98,14.854
Gaia DR2 2018864362679341824,Gaia EDR3 2018864362679341824,19 23 59.28,21 41 02.33,DA,8749.21237,7.545423,35.46,,
V* CD Oct,Gaia EDR3 6358158435541361792,22 04 18.65,-75 13 24.88,DA,8748.0,8.66,19.03,15.04,
EGGR 577,Gaia EDR3 1408135749896104192,17 05 30.48,48 03 11.24,DA,8742.0,7.118,39.40,14.45,14.955
GD 44,Gaia EDR3 235842052999634944,03 16 42.24,39 32 20.25,DC,8720.74798,8.076055,37.86,,16.045
WD 0805+356,Gaia EDR3 905923368548465152,08 09 11.14,35 27 55.71,DA,8708.61714,7.790942,35.19,15.14,15.54425
EGGR 64,Gaia EDR3 818602457173176192,09 16 40.76,43 59 37.29,DA,8671.0,8.017,33.53,15.35,15.79781
L 577-71,Gaia EDR3 2313836325604479616,23 54 00.68,-33 16 37.52,DA,8663.0,8.03,23.20,13.56,
WD 1151+246,Gaia EDR3 4004395720290994048,11 54 34.57,24 22 37.76,DA,8647.84058,8.485258,26.53,15.26,15.94
WD 1202-232,Gaia EDR3 3489719481290397696,12 05 26.72,-23 33 08.51,DAZ,8636.0,8.005,10.43,12.8,
GD 366,Gaia EDR3 1350517492310907392,17 48 27.11,45 03 27.17,DC,8613.15269,8.255183,29.91,,15.84700012
EGGR 94,Gaia EDR3 1460689760003983232,12 59 46.27,27 34 05.32,DAZ,8583.43537,8.05043,32.98,15.41,15.85509
GJ 836.5,Gaia EDR3 1792830060723673472,21 42 40.75,20 59 47.73,DQ,8573.88082,8.112437,11.04,13.253,13.914
PG 1157+004,Gaia EDR3 3891115064506627840,11 59 52.12,00 07 51.25,DA,8566.0,8.419,28.31,15.73,16.0
EGGR 117,Gaia EDR3 4458207634145130368,16 11 25.62,13 22 09.23,DA,8529.0,8.326,22.27,15.103,15.354
EGGR 69,Gaia EDR3 642685200933153408,09 57 48.03,24 32 50.52,DA,8521.60707,8.068733,27.56,15.08,15.37164
Gaia DR2 551153263105246208,Gaia EDR3 551153263105246208,04 12 46.23,75 49 42.68,DAe,8514.12007,8.24665,35.05,15.73,
LAWD 96,Gaia EDR3 4994877094997259264,00 02 11.62,-43 10 06.38,DA,8506.0,8.38,8.33,12.97,
WD 1837-619,Gaia EDR3 6631915390382416256,18 42 28.06,-61 51 58.61,DC,8500.0,,25.66,14.69,
EGGR 328,Gaia EDR3 4435778215414219520,16 38 54.14,05 40 34.83,DA,8497.27083,8.524538,36.03,15.76,
Wolf 72,Gaia EDR3 2585189473147457408,01 29 24.11,10 22 55.17,DA,8493.0,7.473,29.26,14.38,14.981
Gaia DR2 3383000470383852672,Gaia EDR3 3383000470383852672,06 39 31.90,24 35 47.52,DC,8476.00497,7.917471,35.85,,
PHL 3537,MCT 0136-2010,01 38 32.26,-19 54 43.99,DA,8471.0,8.64,24.0,,16.01
Gaia DR2 85787470611883008,Gaia EDR3 85787470611883008,02 27 24.72,18 07 22.62,DA,8443.87011,7.974134,37.42,,
EGGR 251,Gaia EDR3 1020653077580086784,09 50 16.67,53 15 14.27,DQ,8389.0996,8.025527,27.60,15.3,15.43878
Gaia DR2 3643555726544985088,Gaia EDR3 3643555726544985088,14 07 09.76,-06 26 40.82,DA,8389.0,8.191,24.59,14.93,
WD 0928-71,Gaia EDR3 5219215228420645248,09 29 06.99,-71 33 53.49,DA,8370.0,8.16,25.55,15.44,
WD 1001-033,Gaia EDR3 3828424828500179584,10 03 38.70,-03 37 57.90,DA,8346.0,7.994,33.38,15.45,
EGGR 472,Gaia EDR3 25405350031335296,02 42 08.63,11 12 28.31,DAH,8299.27364,8.420949,33.89,16.18,
WD 1531+024,Gaia EDR3 4424031479858305408,15 34 17.38,02 18 46.78,DA,8293.0,8.481,33.75,16.43,16.68
EGGR 324,Gaia EDR3 696261653777188864,09 33 40.86,29 11 20.48,DA,8254.22815,8.475686,29.44,15.98,16.40054
HD 13445B,GJ86B,02 10 26.20,-50 49 25.00,DA,8184.0,7.81,10.78,14.0,
Gaia DR2 1039163458912998272,Gaia EDR3 1039163458912998272,09 25 43.02,61 20 13.63,DA,8160.0,7.894,27.46,,15.456
GJ 1260,Gaia EDR3 1841683423932168832,21 13 46.05,26 21 27.23,DA,8136.55652,7.529235,31.69,14.68,
Gaia DR2 2127566548919332608,Gaia EDR3 2127566548919332608,19 26 26.86,46 20 15.94,DA,8132.78169,8.214128,33.66,15.96,
EGGR 7,Gaia EDR3 2552121179905893888,01 03 50.27,05 04 34.27,DA,8057.20457,7.522636,22.02,14.05,14.496
SDSS J074730.12+110733.8,Gaia EDR3 3151407827963355136,07 47 30.18,11 07 31.78,DA,8054.0,8.887,27.62,,17.13
WD 1102-183,Gaia EDR3 3552845261339955200,11 04 47.02,-18 37 13.94,DA,8038.0,7.987,39.88,15.99,16.44
GD 548,Gaia EDR3 2191146977029443584,21 20 42.17,58 19 21.13,DA,7979.77694,7.989925,38.76,16.0,
Gaia DR2 1084764020047940096,Gaia EDR3 1084764020047940096,07 53 04.99,61 22 02.54,DC,7953.02703,8.125282,35.02,,
GJ 440,Gaia EDR3 5332606522595645952,11 45 49.60,-64 50 34.99,DQ,7951.0,8.0078,4.64,11.5,
Gaia DR2 3575728709655386752,Gaia EDR3 3575728709655386752,12 00 55.79,-10 32 21.12,DA,7950.0,8.44,33.66,16.45,
EGGR 507,Gaia EDR3 1921351390779081600,23 54 56.57,40 27 21.06,DQ,7926.85051,8.044101,22.08,14.94,
L 462-56 B,Gaia DR2 5436014972680358272,09 36 59.50,-37 21 24.10,DA,7920.0,8.04,26.26,15.18,
WD 0501-555,Gaia EDR3 4764692171059541120,05 02 43.32,-55 26 39.41,DC,7851.0,,39.87,16.35,
PG 0136+152,Gaia EDR3 2589304876450784128,01 38 56.84,15 27 40.84,DA,7843.62999,8.047631,22.68,14.94,15.43
2MASS J10143597+4226228,Gaia EDR3 805470233890349440,10 14 36.16,42 26 20.40,DA,7799.0,8.458,31.26,,16.76114
WD 1157+438,Gaia EDR3 1537794524729363712,12 00 02.94,43 35 41.06,DA,7796.93162,7.861882,37.33,15.71,16.30446
Gaia DR2 232990572675079296,Gaia EDR3 232990572675079296,04 21 29.45,46 07 56.12,DA,7786.73958,7.991321,26.56,15.17,
WD 2103-397,MCT 2103-3947,21 06 32.18,-39 35 59.83,DA,7779.0,8.226,25.0,15.31,
WD 0925+189,Gaia EDR3 633911196927706880,09 28 40.40,18 41 10.99,DA,7765.0,8.447,36.48,16.643,17.09
GJ 772,Gaia EDR3 4235280071072332672,19 56 28.76,-01 02 43.97,DA,7752.0,8.175,11.57,13.698,14.258
Gaia DR2 481698110012697728,Gaia EDR3 481698110012697728,05 37 14.83,67 59 49.53,DAH,7748.27607,8.330083,35.01,,
GD 356,Gaia EDR3 1425909733315616000,16 40 56.93,53 41 06.27,DAH,7743.0,8.269,20.14,15.05,15.551
Gaia DR2 6844375121726139520,Gaia EDR3 6844375121726139520,21 39 57.39,-12 45 50.08,DA,7730.0,8.36,36.74,16.46,
EGGR 557,MCT 2336-1842,23 38 52.89,-18 26 14.92,DA,7711.0,7.392,37.0,15.6,
WD 1054-226,Gaia EDR3 3549471753507182592,10 56 38.54,-22 52 51.31,DA,7690.0,8.07,36.16,15.998,16.55
WD 2209-147,Gaia EDR3 2600033326799287296,22 12 18.23,-14 29 44.53,DA,7654.0,7.249,37.98,15.09,
WD 1418-088,Gaia EDR3 6329136310728635776,14 20 54.30,-09 05 09.50,DA,7645.0,7.547,38.29,15.36,
Gaia DR2 4215241712185612544,Gaia EDR3 4215241712185612544,19 30 19.72,-00 57 30.63,DC,7620.0,8.17,35.10,,
WD 0150+256,Gaia EDR3 297470774951165568,01 52 52.19,25 53 41.36,DA,7599.0,7.851,34.86,15.71,16.235
EGGR 302,Gaia EDR3 2735175263041913088,22 09 47.38,14 29 51.13,DA,7586.00927,8.151428,27.17,15.61,16.136
* alf CMi B,J0739+0513,07 39 17.88,05 13 26.76,DQZ,7585.0,7.964,3.5142,10.94,
WD 0632+40,Gaia EDR3 957295438016687616,06 36 29.87,40 54 24.63,DA,7569.21859,8.365,39.67,,
GJ 283 A,J0740-1724,07 40 20.79,-17 24 49.16,DZA,7545.0,7.9862,9.1562,13.06,
Gaia DR2 4589139574728058880,Gaia EDR3 4589139574728058880,18 33 52.66,32 17 55.78,DZA,7539.10184,7.883701,39.38,,
GJ 2092,Gaia EDR3 5860131207828395648,12 26 41.93,-66 12 21.39,DA,7491.0,7.76,15.39,13.952,
GJ 1112,Gaia EDR3 710766750855439360,08 30 39.27,32 41 38.80,DA,7487.0,8.46,22.39,15.73,16.24123
PG 1106+083,Gaia EDR3 3818473629793533312,11 08 44.24,08 01 36.39,DA,7486.06474,7.976241,37.94,16.08,16.63681
Gaia DR2 859567752163281792,Gaia EDR3 859567752163281792,11 34 44.63,61 08 25.52,DA,7477.0,7.97,28.11,15.45,16.025
WD 2048-250,Gaia EDR3 6805808514433280000,20 51 00.15,-24 52 06.83,DA,7465.0,8.073,26.80,15.42,
Ton 953,Gaia EDR3 716504796716020352,08 49 09.32,34 29 47.86,DAZ,7452.0,7.954,30.89,15.71,16.20879
Gaia DR2 4139348334376604928,Gaia EDR3 4139348334376604928,17 04 38.04,-14 46 26.29,DA,7440.0,8.42,32.67,,
EGGR 85,Gaia EDR3 3926968661219149184,11 56 43.47,18 22 19.65,DC,7434.1634,8.088395,26.75,15.61,16.10231
Gaia DR2 4068499305485306240,Gaia EDR3 4068499305485306240,17 49 35.72,-23 55 02.68,DAZ,7425.0,8.061,26.6,15.42,
WD 0330-000,Gaia EDR3 3264551560189562112,03 33 20.46,00 07 20.51,DAH,7412.58046,8.295732,35.47,,17.05
WD 1223+188,Gaia EDR3 3947104533054775168,12 26 19.60,18 36 34.10,DC,7402.05054,8.115115,35.87,,16.7415
G 160-51,Gaia EDR3 3189621320226676736,04 12 26.63,-11 17 47.87,DAP,7385.0,7.582,35.12,15.446,
GD 69,Gaia EDR3 194394347281717504,05 36 20.02,41 29 56.20,DA,7384.25265,7.231709,32.15,14.78,
Gaia DR2 2118649750133781376,Gaia EDR3 2118649750133781376,18 31 58.83,46 58 29.57,DA,7378.42513,8.015813,23.32,,
GD 395,Gaia EDR3 1951870157081161216,21 34 24.36,36 55 18.07,DA,7365.3162,8.085983,39.44,,
WD 0216-398,Gaia EDR3 4963617807621683712,02 18 32.20,-39 36 31.93,DA7.0,7364.0,,30.08,15.75,
EGGR 196,Gaia EDR3 4462612140287443840,16 41 36.63,15 12 27.20,DA,7363.0,7.906,31.05,15.66,16.295
GJ 893.1,J2314-0632,23 14 25.18,-06 32 47.88,DQ,7352.0,7.9596,25.8559,15.42,15.804
Ross 627,Ross 627,11 24 12.96,21 21 32.40,DA,7346.0,8.1,13.6,14.24,14.86
EGGR 298,Gaia EDR3 1281989124439286912,14 58 06.66,29 37 19.94,DAZ,7320.32829,7.97381,28.57,15.6,16.158
Gaia DR2 459237630076876672,Gaia EDR3 459237630076876672,02 27 04.37,59 15 02.30,DA,7286.75136,7.846336,37.69,15.97,
Gaia DR2 2484544095751034496,Gaia EDR3 2484544095751034496,01 37 05.02,-02 07 38.87,DA,7260.0,8.31,35.73,,17.152
Gaia DR2 2516606022320239104,Gaia EDR3 2516606022320239104,02 21 57.86,04 45 19.21,DA,7252.0,8.085,39.45,,17.045
G 150-43,Gaia EDR3 1451566149955227520,13 49 44.30,27 55 22.87,DA,7243.62215,8.399323,29.99,,16.97444
WD 1831+19,Gaia EDR3 4525569007873380736,18 33 58.38,19 45 46.66,DQ,7235.87704,7.996577,39.26,16.41,16.894
PM J23243+2835,Gaia EDR3 2869130517001766400,23 24 18.82,28 35 52.71,DA,7231.0,8.009,39.10,15.96,16.979
GD 32,Gaia EDR3 133116227803380224,02 40 50.25,31 42 54.92,DA,7229.0,8.075,33.06,,16.705
GJ 1042,Gaia EDR3 333010327952701696,02 11 22.27,39 55 13.51,DAZ,7224.0,7.97,17.17,14.526,
WD 2157-574,Gaia EDR3 6412251624488840448,22 00 44.96,-57 11 24.23,DAZ,7220.0,,29.37,15.96,
Gaia DR2 1989342372349280384,Gaia EDR3 1989342372349280384,22 57 25.41,51 30 05.60,DA,7210.67954,8.405425,36.56,,
GJ 699.1,Gaia EDR3 1711005951573009792,17 49 37.96,82 47 19.10,DA,7202.84088,7.877595,16.35,14.309,
GJ 841 B,Gaia EDR3 6558209044297239424,21 57 38.28,-51 00 37.88,DQP,7190.0,7.95,14.86,14.74,
EGGR 344,Gaia EDR3 984190381489031424,07 53 27.11,52 29 27.38,DC,7185.43402,8.302846,21.82,15.674,16.13283
L 870-2,Gaia EDR3 2480523216087975040,01 38 00.02,-04 59 50.27,DA+DA,7168.0,7.163,12.62,12.84,14.983
LAWD 34,Gaia EDR3 3763445409285757824,10 57 34.26,-07 31 21.72,DC,7155.0,8.308,12.27,14.32,
Gaia DR2 3530520910392199680,Gaia EDR3 3530520910392199680,12 48 28.06,-10 28 59.35,DC,7130.0,8.27,39.71,,17.433
EGGR 250,Gaia EDR3 1022780838739029120,09 15 54.13,53 25 05.92,DCP,7126.04471,8.202458,10.27,13.88,14.711
GD 402,Gaia EDR3 1999615350008375552,22 18 51.38,48 39 28.29,DA,7120.16518,7.744651,39.58,16.13,
Gaia DR2 470639806179201792,Gaia EDR3 470639806179201792,04 23 13.65,57 45 23.03,DC,7110.54669,8.178992,37.36,,
PM J21077+0740,Gaia EDR3 1737167215848315264,21 07 45.03,07 40 42.48,DA,7106.15808,8.041492,38.36,15.91,17.062
2MASS J06533021-3954292,Gaia EDR3 5564029702750970112,06 53 30.12,-39 54 25.56,DA,7100.0,8.03,24.79,15.46,
WD 0855+416,Gaia EDR3 912718071240545152,08 58 30.74,41 26 29.72,DAH,7097.0,8.384,38.17,,17.59
GJ 3410,Gaia EDR3 3126453655659835136,06 47 21.71,02 31 09.31,DA,7093.75038,8.593266,18.09,15.67,
V* CY Leo,Gaia EDR3 3884899559633556224,10 41 53.97,14 15 44.78,DQ,7093.30374,8.077923,37.55,16.51,17.05516
2MASS J22280206+1207334,Gaia EDR3 2730508416002618752,22 28 02.02,12 07 32.64,DZ,7088.00782,8.072136,33.91,,16.93731
GD 5,Gaia EDR3 384636109728592768,00 11 22.39,42 40 37.29,DA,7070.95884,7.99424,23.43,15.23,
2MASS J01213782+3440431,Gaia EDR3 320029150076023808,01 21 37.61,34 40 43.09,DZ,7053.49247,8.139514,38.79,,17.27
2MASS J03432310+1958133,Gaia EDR3 63126196662620416,03 43 23.21,19 58 16.19,DA,7051.78628,8.424947,20.76,,
G 175-34B,Gaia EDR3 470826482637310848,04 31 15.33,58 58 10.13,DC,7050.01536,8.112173,5.52,12.44,
2MASS J11094130+5512289,Gaia EDR3 843807902246527232,11 09 41.45,55 12 25.78,DA,7050.0,8.585,35.80,,17.83008
Gaia DR2 4168312459956062208,Gaia EDR3 4168312459956062208,17 38 34.52,-08 26 14.80,DAZ,7050.0,8.04,30.41,,
2MASS J10221035+4612491,Gaia EDR3 833470465721350784,10 22 10.37,46 12 47.40,DA,7035.67,8.16132,32.95,,16.94785
WD 0136-340,Gaia EDR3 5012346101380568832,01 39 15.14,-33 49 03.67,DA,7000.0,8.0,39.59,17.18,
EGGR 360,Gaia EDR3 3725570772761744384,13 47 23.40,10 21 35.76,DA+DC?,6995.0,8.008,20.81,15.08,15.79
GD 262,Gaia EDR3 876571935709366272,08 09 46.37,29 20 31.06,DA,6993.975,8.073242,32.24,,16.81618
Gaia DR2 131188715200383872,Gaia EDR3 131188715200383872,02 31 16.90,28 59 39.63,DA,6979.20363,7.667974,27.87,15.1,
2MASS J01503855-7207164,Gaia EDR3 4686800224727589248,01 50 37.67,-72 07 20.27,DC,6972.0,,31.72,,
GJ 3064,Gaia EDR3 2472557872820632320,00 55 50.25,-11 27 24.50,DA,6970.0,7.977,22.44,15.25,
2MASS J06443019+2731115,Gaia EDR3 3386162214851684864,06 44 30.00,27 31 10.67,DA,6961.0,8.388,38.58,,17.72
GJ 1039,Gaia EDR3 5037084872486444928,01 25 24.75,-26 00 52.84,DC,6950.0,8.284,16.57,15.06,
NLTT 45288,Gaia EDR3 4581383928942599296,17 41 46.21,24 01 43.94,DA,6919.0,8.336,31.62,,17.278
Gaia DR2 2574620550768898432,Gaia EDR3 2574620550768898432,02 01 10.51,12 12 24.60,DC,6911.38535,8.015153,31.50,,16.728
WD 2138-332,Gaia EDR3 6592315723192176896,21 41 57.33,-33 00 31.61,DZ,6908.0,8.0455,16.11,13.75,
WD 1334+366,Gaia EDR3 1472029470098019072,13 36 30.30,36 23 46.22,DA,6881.0,8.01,35.44,,17.06027
2MASS J02230030+5544272,Gaia EDR3 457474219590579328,02 23 00.45,55 44 25.94,DA,6868.80544,8.306656,38.30,,
WD 0559+15,Gaia EDR3 3348678699526809600,06 02 31.43,15 53 02.61,DA,6855.76616,8.250917,37.89,,
WD 0753+417,Gaia EDR3 922434906461782272,07 56 31.11,41 39 45.36,DA,6853.0,8.378,32.73,,17.44199
Gaia DR2 3198881613315343872,Gaia EDR3 3198881613315343872,04 27 31.90,-07 08 02.16,DC,6850.0,8.15,39.73,,
LSPM J1351+4253,Gaia EDR3 1502063317405058304,13 51 18.74,42 53 12.89,DZ,6848.75557,8.237186,39.32,,17.6061
Wolf 219,Gaia EDR3 44901791432527232,03 44 35.31,18 25 51.74,DQ,6833.37577,8.102803,18.88,15.19,
EGGR 51,Gaia EDR3 946030529073021440,07 10 14.04,37 40 15.05,DQ,6828.26164,7.974049,24.37,15.66,
GJ 2080,Gaia EDR3 3882611201058534400,10 29 07.88,11 27 14.37,DAH,6814.0,8.25,33.76,16.65,17.34
EGGR 428,Gaia EDR3 923023248261420672,07 59 59.14,43 35 23.68,DCP,6802.05285,8.520735,21.96,,16.74554
Gaia DR2 39387328302768640,Gaia EDR3 39387328302768640,04 02 42.45,15 27 42.96,DC,6800.0,8.127,36.93,,17.318
GJ 1133,Gaia EDR3 1052520154368111872,10 23 09.78,63 27 45.04,DA,6789.57711,8.03457,15.94,14.71,15.399
PM J03196+3630,Gaia EDR3 234469931207274112,03 19 38.41,36 30 29.91,DZ,6788.59012,8.115384,32.08,,
GJ 1201,Gaia EDR3 4452521234885949184,16 27 53.38,09 12 08.49,DA,6784.1153,8.3397,25.09,16.14,16.826
GJ 1052,Gaia EDR3 2495751967528809216,02 46 31.04,-02 27 31.31,DAZ,6784.0,8.156,21.46,15.53,16.267
Gaia DR2 53278867446391040,Gaia EDR3 53278867446391040,03 58 26.75,21 57 22.04,DAZ,6784.0,8.223,36.14,,
WD 1425+495,Gaia EDR3 1507571286545131648,14 26 59.26,49 21 01.18,DC,6771.4865,8.351068,33.89,,17.562
Gaia DR2 2502097283492466560,Gaia EDR3 2502097283492466560,02 35 51.34,01 18 44.85,DA:,6770.0,8.002,33.04,,16.978
G 274-95,Gaia EDR3 5025127443016406144,01 47 43.81,-27 11 41.54,DA,6760.0,8.003,35.35,,
PM J15589+0417,Gaia EDR3 4425632987265111680,15 58 57.66,04 17 03.99,DC,6751.29223,8.434231,22.51,16.16,16.86
L 1046-18 B,Gaia EDR3 3701290326205270528,12 16 51.17,02 58 06.89,DA,6751.0,7.81,23.38,15.32,16.178
EGGR 252,Gaia EDR3 615733593956317568,10 01 48.99,14 41 23.97,DC,6748.84874,8.200341,19.40,15.37,16.074
GJ 2145,Gaia EDR3 4320303621677848832,19 14 35.88,14 28 19.56,DA,6729.35155,8.125833,39.12,16.03,
GJ 1211,Gaia EDR3 4388138816124225792,17 08 07.95,02 57 30.72,DZ,6725.54822,8.111819,17.85,15.194,
2MASS J11505233+6831161,Gaia EDR3 1058284412796260480,11 50 52.40,68 31 15.31,DA,6709.0,8.269,17.09,15.25,16.01225
HD 216777B,Gaia EDR3 2610488514148351360,22 55 50.06,-07 50 03.14,DA,6705.0,7.979,35.95,16.5,17.235
WD 0810+489,Gaia EDR3 931573222477949696,08 14 11.27,48 45 25.75,DC,6692.60032,8.118395,17.10,15.07,15.769
WD 1814+24,Gaia EDR3 4578913738632417920,18 16 08.84,24 54 36.94,DAP,6687.22581,8.246933,37.64,,
GD 484,Gaia EDR3 1679365202380970880,13 01 21.52,67 13 07.79,DA,6666.0,8.256,30.81,,17.298
Gaia DR2 960039814744267520,Gaia EDR3 960039814744267520,06 20 06.15,42 05 42.99,DA,6651.14828,8.332279,37.68,,
2MASS J18571395+2026292,Gaia EDR3 4518917168694695168,18 57 13.92,20 26 23.59,DA+DC?,6650.0,8.296,32.61,,17.514
WD 1559+534,Gaia EDR3 1404831472640252928,16 01 12.44,53 17 04.19,DA,6648.47394,7.9812,37.66,,17.27885
GD 175,Gaia EDR3 6332763530870415488,15 05 49.09,-07 14 41.25,DAH,6640.0,8.005,26.97,15.88,
Gaia DR2 455517329408362752,Gaia EDR3 455517329408362752,02 21 10.99,53 33 29.66,DC,6633.69069,8.146541,29.05,,
V* V1412 Aql,Gaia EDR3 4249667902270614272,20 13 55.41,06 42 35.51,DC,6629.8499,8.149167,22.95,15.751,16.477
GJ 4236,Gaia EDR3 2679976510857026048,21 54 06.46,-01 17 13.71,DA,6626.0,7.061,25.52,14.515,15.176
EGGR 377,Gaia EDR3 1789361097242243584,21 02 02.53,19 12 52.80,DA,6621.69324,8.016353,32.77,16.36,
WD 1713+393,Gaia EDR3 1341543072245722752,17 14 50.78,39 18 40.63,DAH,6615.58344,7.767826,39.58,,17.168
WD 1143-013,Gaia EDR3 3794567429507510528,11 46 26.15,-01 36 43.86,DA,6615.0,8.034,32.91,16.39,17.136
WD 1141-012,Gaia EDR3 3793132257595347200,11 43 51.86,-01 31 49.36,DA,6614.0,8.365,39.61,17.06,18.06
Gaia DR2 6310804634396281984,Gaia EDR3 6310804634396281984,14 43 17.92,-14 37 17.37,DA,6610.0,8.2,28.73,16.37,
WD 1104+150,Gaia EDR3 3968635204109066880,11 07 09.43,14 46 56.23,DA,6582.69988,7.95832,38.33,,17.37
WD 0704-508,Gaia EDR3 5504790696302830208,07 05 55.36,-50 52 46.56,DC,6580.0,8.0,37.13,16.94,
Gaia DR2 688606063549945600,Gaia EDR3 688606063549945600,09 12 16.49,25 38 20.72,DA,6577.0,8.057,37.78,,17.53
EGGR 183,Gaia EDR3 3875652014008894720,10 15 02.30,08 06 38.32,DA,6574.57359,7.931709,29.49,16.03,16.78444
Gaia DR2 3011223668834627328,Gaia EDR3 3011223668834627328,05 54 42.97,-10 35 23.79,DZ,6570.0,8.17,15.29,14.96,
GJ 3339,Gaia EDR3 3242153305741855744,05 14 03.27,08 00 10.24,DA,6569.01099,8.312111,21.46,15.87,
WD 1224+321,Gaia EDR3 4015547856277853824,12 27 24.37,31 50 21.05,DA,6563.0,7.971,38.88,,17.47
GJ 4012,Gaia EDR3 5921433963191695872,17 37 00.55,-54 26 03.88,DA,6542.0,8.35,20.24,15.8,
WD 0816-310,J0818-3110,08 18 40.26,-31 10 20.33,DZ,6535.0,8.2785,19.3604,15.43,
GJ 1228,Gaia EDR3 2150504594853811456,18 30 19.78,54 47 31.81,DXP,6534.79363,8.395035,17.04,15.53,
Gaia DR2 2142307563871222912,Gaia EDR3 2142307563871222912,19 27 25.00,56 44 56.48,DA,6533.42551,8.35934,31.79,,
G 163-28,Gaia EDR3 3789156870225942656,10 57 47.89,-04 13 32.72,DZ,6529.0,8.0504,36.35,16.73,
Gaia DR2 4237555506083389568,Gaia EDR3 4237555506083389568,20 04 45.49,01 09 28.76,DA,6506.9945,8.323462,32.35,,24.635
WD 0236-269,Gaia EDR3 5070533180139377792,02 38 41.26,-26 43 16.76,DB,6500.0,,35.04,16.6,
PG 1633+434,Gaia EDR3 1405343643196929536,16 35 01.76,43 17 31.52,DAZ,6498.0799,8.15077,14.49,14.834,15.642
Gaia DR2 4257063453704172416,Gaia EDR3 4257063453704172416,18 29 52.20,-05 36 20.92,DC,6490.0,8.07,39.85,,
WD 0313-084,Gaia EDR3 5167510797199003904,03 16 14.01,-08 16 39.09,DA,6483.0,8.337,31.41,,17.647
Gaia DR2 143076256963396480,Gaia EDR3 143076256963396480,02 53 28.34,37 59 57.29,DA,6481.23144,7.923893,37.03,,
GJ 1004,Gaia EDR3 395234439752169344,00 12 13.97,50 25 11.91,DAH,6476.2025,8.238748,10.87,14.36,
EGGR 476,Gaia EDR3 8578256576520320,02 59 59.66,08 11 55.22,DAH,6456.72662,7.778163,29.47,15.9,
EGGR 421,Gaia EDR3 1114054838014073984,06 07 15.58,73 31 50.27,DA,6450.601,8.49926,32.25,,
WD 2119-017,Gaia EDR3 2685959542034846464,21 21 47.69,-01 30 36.23,DA,6450.0,8.027,35.13,16.59,17.418
Gaia DR2 1115546944012493696,Gaia EDR3 1115546944012493696,06 49 26.94,75 21 24.76,DAH,6440.42457,8.209052,37.93,,
WD 1149-272,Gaia EDR3 3487220772397809536,11 51 35.84,-27 32 20.38,DQ,6436.0,7.9709,25.17,15.87,
GJ 261,Gaia EDR3 3052844272764398208,07 01 54.77,-06 28 00.43,DA,6430.0,8.0,20.70,15.44,
Wolf 28,Gaia EDR3 2552928187080872832,00 49 11.22,05 22 35.60,DZ,6423.46775,8.245723,4.31,12.38,14.651
WD 1214+690,Gaia EDR3 1683330453627242752,12 17 00.59,68 48 51.39,DA,6419.94275,8.377004,32.76,,17.81
WD 1236+457,Gaia EDR3 1541286711100812160,12 39 13.72,45 25 05.55,DA,6415.0,8.317,26.84,,17.3637
LSPM J0543+3637,Gaia EDR3 3455921181049073280,05 43 07.16,36 37 00.31,DAZ,6410.0,8.048,22.23,,
EGGR 391,Gaia EDR3 1468213546275054208,13 30 58.83,30 29 52.01,DZH,6403.88907,8.107886,25.54,16.03,18.276
WD 1657+321,Gaia EDR3 1313405848136604672,16 59 39.72,32 03 16.58,DA,6403.0,8.472,37.43,,18.356
EGGR 584,Gaia EDR3 1955134710179436672,22 14 08.51,37 27 06.56,DC,6397.40329,8.469851,29.19,,
GJ 3306,Gaia EDR3 3186021141200137472,04 37 47.66,-08 49 35.46,DQ,6396.0,7.9589,9.40,13.75,
Gaia DR2 2553935752048977792,Gaia EDR3 2553935752048977792,00 30 47.95,03 47 01.97,DC,6392.7066,8.065361,27.78,,17.003
2MASS J05155350+2839169,Gaia EDR3 3422405214775411840,05 15 53.75,28 39 15.17,DAH,6391.24475,8.178033,30.06,,
EGGR 554,J2315-0209,23 15 18.81,-02 09 40.60,DZ,6389.0,8.1038,29.7343,16.31,17.21
WD 1114+06,Gaia EDR3 3817262208497857024,11 16 40.01,06 27 02.27,DA,6384.0,7.982,37.53,16.75,17.607
GJ 3112,Gaia EDR3 4698424845771339520,01 43 00.07,-67 18 46.65,DAZ,6380.0,7.97,9.72,13.82,
2MASS J06533533-3955335,Gaia EDR3 5564028981196462336,06 53 35.25,-39 55 29.66,DA,6360.0,8.14,24.84,16.07,
V* RR Cae,Gaia EDR3 4788741548375134336,04 21 05.61,-48 39 15.60,DA+dM,6354.0,7.38,21.19,14.36,
L 50-73,Gaia EDR3 4689789625044431616,00 13 50.69,-71 49 58.22,DA,6340.0,7.89,18.80,15.17,
LSPM J1317+2157,Gaia EDR3 3943650619138622848,13 17 48.94,21 57 09.14,DC,6331.35353,8.247248,31.77,,17.61189
Gaia DR2 2733055335904034432,Gaia EDR3 2733055335904034432,22 34 18.98,14 56 53.90,DA,6329.0,8.031,33.87,,17.533
EGGR 419,Gaia EDR3 3292685210887016192,04 40 28.43,09 23 35.34,DA,6327.0,8.295,32.56,16.96,17.845
